Word,Count
utilitatis,1
causa,1
amicitia,1
est,3
quaesita,1
lorem,1
ipsum,2
dolor,1
sit,1
amet,1
consectetur,1
adipiscing,1
elit,1
collatio,1
igitur,1
ista,1
te,1
nihil,1
iuvat,1
honesta,1
oratio,1
socratica,1
platonis,1
etiam,2
primum,1
in,2
nostrane,1
potestate,1
quid,4
meminerimus,1
duo,1
reges,1
constructio,1
interrete,1
si,2
iucunda,1
memoria,1
praeteritorum,1
malorum,1
quidem,2
inquit,1
tollerem,1
sed,1
relinquo,1
an,1
nisi,1
populari,1
fama,1
quamquam,1
id,2
licebit,1
iis,1
existimare,1
qui,1
legerint,1
summum,1
a,1
vobis,1
bonum,1
voluptas,1
dicitur,1
at,1
hoc,1
eo,1
m,1
refert,1
tamen,1
quo,1
modo,1
sequatur,1
repugnet,1
vident,1
iam,1
absurdum,1
maximum,1
malum,1
neglegi,1
