Word,Count
public,28
guideline,28
to,213
cyber,38
threat,157
modelling,62
for,83
risk,52
assessment,45
table,11
of,153
contents,1
introduction,2
importance,2
purpose,3
document,15
scope,14
approach,13
system,100
level,12
common,18
missteps,4
in,65
integrating,2
into,14
process,16
methodology,4
overview,2
method,5
step,20
preliminaries,2
and,149
definition,5
decomposition,6
identification,7
attack,42
bringing,2
everything,3
together,4
references,2
annex,5
a,104
sample,4
models,6
industrial,4
control,9
ics,3
according,3
purdue,2
model,16
b,9
other,11
methods,10
due,1
finite,1
resources,7
the,298
owner,2
it,18
is,65
difficult,1
mitigate,9
every,2
vulnerability,4
within,11
therefore,1
owners,15
must,5
prioritise,5
risks,3
treat,1
them,3
accordingly,2
key,4
determining,2
identifying,8
events,30
which,19
cont,2
ribute,1
likelihood,1
impact,4
event,5
refers,3
any,4
during,1
actor,3
by,33
means,4
vector,3
acts,1
against,4
an,44
asset,2
manner,3
that,42
has,3
potential,4
cause,3
harm,3
context,4
cybersecurity,13
can,42
be,33
characterised,2
tactics,7
techniques,9
procedures,3
ttp,2
employed,2
actors,4
helps,2
comprehensively,2
identify,16
are,26
relevant,9
so,9
focus,8
on,35
implementing,1
effective,3
measures,1
protect,1
components,24
this,35
makes,1
harder,1
adversary,3
compromise,11
establishing,1
foothold,2
pivoting,2
moving,1
laterally,2
consequently,1
stem,1
curtail,1
kill,10
chain,9
before,4
reaches,1
crown,10
jewels,6
with,40
also,15
avoid,4
blind,3
spots,2
csb,2
issued,2
guidelines,2
auditing,2
conducting,4
critical,7
information,36
infrastructure,4
april,1
provided,1
guidance,4
ciios,2
performing,4
proper,6
briefly,1
covered,2
steps,3
as,45
part,2
supplements,1
elaborating,1
aims,2
provide,8
practical,2
systematic,5
way,6
used,8
will,15
introduce,1
various,8
approaches,1
suggested,2
framework,8
coupled,2
examples,16
individuals,4
groups,4
adopt,2
derive,2
robust,3
c,8
then,4
incorporate,1
these,6
their,16
develop,2
controls,15
ultimately,3
exercise,2
cultivate,1
customised,1
perspective,6
goes,1
beyond,2
meeting,1
minimum,1
gen,1
eric,1
standards,2
or,58
who,2
would,2
like,2
build,1
systems,17
they,5
use,8
results,1
inputs,1
assessments,4
such,20
using,11
subsequently,1
collectively,1
termed,1
users,44
may,23
clude,1
but,3
not,13
limited,2
following,5
internal,2
stakeholders,1
eg,12
business,3
unit,1
heads,1
chief,1
security,13
officers,1
personnel,1
involved,2
management,3
organisation,3
including,2
external,6
consultants,1
service,9
providers,1
engaged,1
conduct,5
behalf,1
red,2
team,3
members,2
blue,1
defenders,1
purple,1
set,2
out,10
focuses,1
areas,3
technical,3
scoping,1
intelligence,9
monitoring,2
person,1
entity,1
responsible,2
path,1
route,1
uses,2
target,3
studying,1
geo,2
political,1
threats,33
under,1
wider,1
domain,1
analysis,8
figure,14
hierarchy,2
at,18
three,4
different,5
tiers,1
from,19
equipment,3
application,21
below,11
general,1
description,2
each,8
tier,1
documents,1
sys,2
tem,2
feeds,2
trends,1
analysed,1
factors,1
politics,1
analysts,1
typically,8
centric,3
profiling,1
considering,2
adversarys,1
broad,1
motives,1
actions,5
pre,2
post,4
intrusion,5
organisations,6
do,3
high,1
managements,1
consumption,1
example,13
us,2
office,2
director,1
national,4
odni,1
follows,2
across,4
four,2
horizontal,1
lifecycle,2
stages,6
preparation,1
engagement,1
presence,1
consequences,1
while,5
expanding,1
verticals,1
objectives,3
indicators,1
considers,1
constructs,1
relationships,1
well,6
behaviours,1
form,3
architectural,1
layers,1
data,34
flows,9
user,13
first,7
assets,1
boundaries,8
environment,5
r,3
elevant,1
we,25
most,2
granular,1
often,3
involves,5
hunting,1
log,1
