Word,Count
python,5
for,2
data,19
science,2
introducing,1
basics,2
operators,1
loops,1
functions,4
strings,2
list,1
tuples,1
dictionary,1
set,2
objectoriented,1
conceptsoops,1
and,11
much,4
more,4
toolkit,1
getting,5
started,5
with,12
files,2
inventory,2
management,2
system,2
json,1
mastering,2
numpy,2
arrays,1
os,2
jupyter,1
notebook,1
setup,1
etc,3
libraries,1
pandas,2
matplotlib,1
streamlit,1
statistics,2
linear,5
algebra,1
essentials,2
scalars,1
vectors,1
matrices,1
matrix,1
operations,1
inverse,1
rank,1
systems,2
of,5
equations,1
eigen,1
concepts,2
solving,1
determinants,1
eigenvalues,1
eigenvectors,1
vector,2
spaces,1
norms,2
dot,1
product,1
distance,1
metrics,1
calculus,2
derivatives,2
partial,1
chain,1
rule,1
gradients,1
optimization,1
gradient,1
descent,1
cost,1
minimamaxima,1
multivariable,1
analytics,2
analysis,8
preprocessing,2
google,1
play,2
store,1
introduction,3
to,5
eda,1
cleaning,1
visualization,2
excel,1
exploring,1
preparing,1
analysing,1
important,1
interview,1
questions,1
power,3
bi,3
understanding,2
parameters,1
basic,1
plots,2
fundamentals,4
designing,1
the,3
web,1
scraping,1
learn,1
how,2
scrape,1
selenium,1
image,7
dataset,3
creation,1
sql,3
databases,1
manipulationdml,1
querying,1
intermediate,1
queries,1
joining,1
combining,1
theory,1
clauses,1
subqueries,1
window,1
machine,2
learning,4
ai,4
comes,1
into,1
regression,3
multiple,1
polynomial,1
support,1
machines,1
decision,1
trees,1
random,1
forests,1
classification,1
algorithms,2
clustering,1
feature,1
engineering,2
statistical,2
foundation,1
ml,1
descriptive,1
inferential,1
correlation,1
covariance,1
outlier,1
detection,2
sampling,1
strategies,1
bias,1
variance,1
central,1
limit,1
theorem,1
specialization,1
deep,1
perceptrons,1
multilayer,1
perceptron,1
architecture,1
convolutional,1
neural,1
network,1
cnn,1
processing,4
formation,1
techniques,1
on,3
live,3
webcam,1
taking,1
a,4
selfie,1
program,1
opencv,1
manipulation,2
diy,1
instagram,2
filters,2
masking,1
adding,1
logo,1
videoface,1
natural,1
language,1
nlp,1
ascii,1
codes,1
regular,1
expression,1
from,1
scratch,1
spacy,1
text,3
sequencing,1
using,3
word,1
cloud,1
generative,2
what,1
is,1
prompt,1
openaihugging,1
face,1
apis,1
generation,3
models,1
llms,1
texttoimage,1
stable,1
diffusion,1
dall,1
e,1
projects,3
building,1
chatbot,1
langchain,1
finetuning,1
highlevel,1
responsible,1
ethical,1
use,1
genai,1
sugarcane,1
production,1
black,1
friday,1
sales,3
heart,1
disease,1
gdp,1
covered,1
pivot,1
table,1
superstore,1
dashboard,2
covid,1
world,1
wikipedia,1
scraper,1
youtube,1
scrapper,1
stock,1
images,1
infinite,1
scroll,1
predicting,1
house,1
prices,1
predictive,1
in,1
diabetes,1
customer,1
segmentation,1
spell,1
checker,1
guessing,1
title,1
corpus,1
creating,1
own,1
selfies,1
capturing,1
summarizer,1
note,1
additional,1
will,1
be,1
assigned,1
by,1
mentors,1
during,1
sessions,1
enhance,1
handson,1
practical,1
