Word,Count
nptel,61
online,63
certification,61
courses,61
indian,61
institute,61
of,305
technology,61
kharagpur,61
course,11
name,16
ethical,14
hacking,15
assignment,12
week,12
type,21
question,128
mcqmsq,10
sa,9
number,27
questions,12
total,17
mark,12
x,30
what,17
is,305
the,439
main,6
objective,3
a,339
delete,1
s,40
files,2
f,4
rom,1
system,19
b,217
insert,1
malwares,1
in,99
c,201
legally,2
identify,3
vulnerabilities,8
d,177
steal,2
sensitive,3
information,17
correct,218
answer,119
detail,110
solution,121
involves,3
simulating,1
actions,1
malicious,4
hacker,1
to,135
security,8
but,8
and,164
with,22
permission,1
this,6
helps,1
organizations,1
strengthen,1
their,2
defenses,1
thus,42
corr,1
ect,1
option,106
which,95
following,57
are,91
types,7
penetration,4
testing,9
methodologies,2
white,2
box,9
black,4
red,2
trojan,8
horse,2
there,11
mainly,1
used,53
for,82
model,4
tester,3
has,8
complete,2
about,13
network,36
does,22
not,51
have,6
any,6
gray,1
partial,3
provide,9
nothing,1
called,4
malware,3
technique,5
switching,7
more,8
efficient,1
bursty,2
data,23
traffic,9
circuit,4
message,29
packet,41
none,27
these,28
allows,8
multiple,10
communications,1
over,1
shared,1
links,1
dynamic,9
bandwidth,2
mak,1
ing,4
it,89
suitable,1
switched,1
acceptable,1
voice,3
communication,3
very,4
inefficient,1
high,3
li,1
ke,1
streaming,1
store,1
andforward,1
approach,5
incurs,1
higher,2
delay,2
true,12
protocol,12
tcpip,1
connectionless,1
reliability,2
tcp,15
udp,7
ftp,7
telnet,5
sends,5
datagram,3
without,3
establishing,1
connection,19
fast,2
unreliable,1
oriented,4
established,1
prior,3
o,9
todata,1
transfer,1
ip,32
header,20
field,5
prevents,4
infinite,1
looping,2
packets,22
checksum,5
time,7
live,6
fragment,7
offset,6
hlen,6
ttl,3
value,7
decrement,1
ed,2
at,9
each,15
router,7
hop,1
when,7
reaches,2
discarded,1
defines,3
length,12
integrity,8
re,4
assembling,1
responsibilities,1
layer,16
framing,2
route,12
reliable,1
transmission,9
t,9
ransport,1
provides,6
handles,1
routing,32
addressing,1
nd,1
error,7
detection,16
handled,1
by,38
link,7
isare,13
valid,6
port,15
protocols,7
mac,6
address,21
whereas,3
upper,1
transport,6
added,1
statements,9
requires,8
establishment,3
faster,5
fewer,2
uses,17
all,18
follow,3
same,15
path,3
independent,2
routed,1
dynamically,2
can,33
different,7
paths,2
require,4
as,28
termination,2
considered,1
transmit,1
max,2
decimal,1
bits,15
be,34
assigned,1
wide,2
bit,12
end,13
why,1
do,5
we,11
need,2
fragmentation,5
increase,4
speed,5
due,2
varying,1
mtu,3
across,2
networks,2
improve,2
encryption,10
compress,3
if,20
small,1
large,6
then,5
cannot,7
transmitted,1
through,3
that,39
divide,1
into,3
smaller,1
fragments,2
say,1
required,4
because,2
varies,1
typically,4
done,3
source,4
host,29
destination,12
intermediate,3
routers,5
hubs,1
performed,1
while,5
reassembly,1
final,4
reassembling,1
fragmented,7
fields,3
flags,1
e,34
identification,3
assembly,1
id,1
flag,6
options,24
an,25
arrives,1
set,15
m,22
statement,4
been,6
first,9
last,4
means,6
allowed,1
mor,1
