Word,Count
index,3
s,210
no,176
topic,14
page,52
week,32
introduction,3
to,3603
ethical,90
hacking,114
basic,97
concepts,23
of,3535
networking,45
part,229
i,1622
ii,32
tcpip,61
protocol,245
stack,25
ip,666
addressing,28
and,3355
routing,242
tcp,295
udp,131
subnetting,5
protocols,100
iii,6
version,186
examples,51
demonstration,14
nessus,25
installation,8
how,419
use,548
metasploit,46
exploiting,10
system,341
software,76
privilege,17
social,26
eng,2
attack,352
mitm,2
man,6
in,2177
the,8954
middleattack,1
cryptography,53
private,135
key,481
public,143
cryptographic,55
hash,247
functions,50
digital,39
signature,101
certificate,45
applications,91
steganography,29
biometrics,10
network,704
based,97
attacks,138
dns,104
email,41
security,181
password,228
cracking,27
phishing,33
maloeware,1
wifi,17
dos,15
ddos,29
elements,4
hardware,117
side,120
channel,78
physical,52
unclonable,12
function,128
trojan,108
web,163
application,178
vulnerability,110
scanning,75
sql,57
injection,37
authentication,152
bypass,13
error,59
from,447
sqlmap,8
cross,32
site,65
scripting,32
file,174
upload,26
nmap,75
tool,106
a,3726
relook,8
analysis,53
using,492
wireshark,27
summarization,3
course,120
prof,62
indranil,62
sengupta,61
department,64
computer,211
science,63
engineering,92
indian,62
institute,62
technology,65
kharagpur,64
lecture,238
introducti,1
on,824
would,50
like,551
welcome,6
you,3378
this,3286
is,5405
first,378
now,1229
will,1808
try,161
give,80
very,383
overall,17
idea,121
about,582
what,626
exactly,41
are,2696
scopes,2
an,623
hacker,56
towards,2
end,137
shall,228
some,1573
coverage,1
things,145
we,1746
expected,7
cover,15
ok,732
so,2940
title,7
h,77
acking,1
refer,740
slide,951
time,1158
as,695
told,34
yo,2
u,21
firstly,11
tell,42
there,1478
related,30
terminological,1
penetration,37
testing,50
also,772
be,2071
discussing,35
that,2668
roles,4
do,432
he,84
or,1036
she,12
not,973
distinguish,6
discuss,33
let,476
us,473
start,79
with,756
definition,6
well,346
all,631
have,907
heard,3
term,31
essentially,21
has,267
been,116
associated,10
something,330
which,1179
bad,2
malicious,83
when,319
hear,3
somebody,13
little,34
afraid,1
cautious,2
mean,63
if,819
person,108
always,37
trying,145
harm,4
else,43
other,437
networks,125
steal,22
it,2179
infrastructure,20
forth,17
but,698
different,224
per,32
just,246
look,164
at,473
refers,9
locating,3
weaknesses,16
vulnerabilities,74
means,376
suppose,221
organizational,9
computers,76
contains,34
da,2
ta,5
lot,74
here,797
find,142
out,310
whether,105
your,363
infrastructural,1
does,128
weak,11
points,26
through,160
actual,29
can,2020
break,48
into,220
act,4
information,321
general,35
covers,2
everything,39
databases,7
done,80
by,592
mimicking,1
behaviour,2
real,17
own,56
get,294
important,105
replicating,2
intent,7
actions,1
ackers,2
whatever,130
hackers,24
reality,2
mimic,1
replicate,4
objective,7
good,56
identify,68
weakness,9
es,12
later,66
maybe,74
organization,36
plug,11
stop,23
those,114
such,173
cannot,86
occur,4
happen,70
future,12
sometimes,65
referred,34
name,147
known,61
terminology,10
used,349
phrase,9
intrusion,4
red,18
teaming,1
these,674
terminologies,5
same,229
thing,173
understand,65
literal,1
meaning,9
penetrate,16
able,101
easier,13
objectives,4
right,242
talking,213
see,710
persons,19
who,103
actually,153
carrying,24
they,522
unknown,7
entities,7
ired,1
company,23
paying,3
them,148
money,8
their,82
provide,42
list,57
take,171
action,16
employed,3
companies,5
typically,68
carry,39
had,88
said,165
attempt,16
difference,25
legal,4
compan,1
y,89
permitted,2
run,70
for,906
purpose,33
finding,4
links,60
se,15
tester,18
basically,84
generate,66
report,22
contain,37
detailed,5
detected,15
result,76
running,150
process,135
normally,43
solutions,5
seek,1
comes,85
extra,11
additional,39
charge,1
contrast,8
test,26
another,166
includes,5
plus,10
kind,483
suggestions,2
loopholes,2
addition,20
analyzing,5
policies,3
offering,2
because,342
ultimately,13
secure,85
protect,10
issues,23
ther,5
e,135
may,282
limited,14
budget,2
within,37
best,17
possible,65
taken,20
care,18
incorporated,6
decisions,5
administration,1
fine,68
inologies,1
broadly,52
speaking,33
involves,7
expertise,2
expect,10
expert,4
doing,63
times,24
assume,20
more,201
intelligent,6
than,53
assumption,8
safe,9
make,92
better,22
breaching,1
hardwa,1
re,268
called,348
crack,18
spoofing,12
where,315
attacking,7
falsify,1
his,37
her,12
identity,11
am,438
enter,22
telling,10
mr,2
x,74
faking,1
originating,1
address,543
packet,653
flows,12
datagram,45
my,214
c,139
hanging,1
elses,1
detecting,4
believe,6
someone,88
being,123
denial,45
service,195
often,19
plagues,1
affects,2
systems,65
infrastructures,1
one,599
collection,6
routers,151
say,338
nodes,33
flood,25
particular,272
host,291
enormous,1
amount,19
traffic,63
simple,70
want,219
bring,8
server,337
down,65
millions,6
packets,371
junk,4
w,32
ill,6
spend,2
its,56
filtering,6
whenever,97
legitimate,27
requests,60
coming,151
valid,14
exceedingly,2
slow,27
long,34
port,377
frequently,5
ports,65
indicate,16
entry,39
connects,2
inc,1
oming,1
connections,44
programs,14
processes,12
multiple,107
number,517
ttack,1
step,42
scan,180
dummy,13
ping,28
numbers,110
active,48
four,32
then,613
documented,1
guideline,1
tells,13
ways,49
entering,3
identifying,8
searching,9
corresponding,32
exploit,48
exploits,6
once,68
whic,14
roughly,7
gaining,4
access,110
gain,12
front,7
door,10
given,59
log,22
validated,2
respect,45
similar,90
most,113
common,37
present,38
day,23
scenario,44
guess,19
many,233
methods,39
during,49
seeing,21
tools,64
