Word,Count
jake,45
vanderplaspython,2
data,1470
science,55
handbook,6
essential,22
tools,93
for,1343
working,57
with,985
powere,1
d,124
by,542
wwwallitebookscom,13
boston,2
farnham,2
sebastopol,4
tokyo,2
beijing,2
lsipython,1
vanderplas,5
copyright,2
all,194
rights,3
reserved,2
printed,7
in,3330
the,6077
united,10
states,24
of,3230
america,7
published,4
oreilly,12
media,6
inc,5
gravenstein,2
highway,2
north,6
ca,4
books,8
may,60
be,615
purchased,1
educational,2
business,14
or,387
sales,2
promotional,1
use,477
online,38
editions,1
are,599
also,130
available,111
most,120
titles,5
httporeillycomsafari,2
more,426
information,127
contact,4
our,163
corporateinsti,1
tutional,1
department,1
corporateoreillycom,1
editor,4
dawn,1
schanafelt,1
production,1
kristen,1
brown,1
copyeditor,1
jasmine,1
kwityn,1
proofreader,1
rachel,1
monaghanindexer,1
wordco,1
indexing,132
services,1
interior,1
designer,2
david,1
futato,1
cover,19
karen,1
montgomery,1
illustrator,1
rebecca,1
demarest,1
december,2
first,139
edition,2
revision,1
history,35
release,7
see,351
httporeillycomcatalogerratacspisbn,1
details,29
logo,1
is,1575
a,2886
registered,1
trademark,1
python,316
image,95
and,2055
related,28
trade,3
dress,1
trademarks,1
while,104
publisher,4
author,4
have,282
used,150
good,42
faith,1
efforts,2
to,2239
ensure,3
that,1034
instructions,3
contained,10
this,1370
work,65
accurate,8
disclaim,1
responsibility,3
errors,23
omissions,1
including,24
without,33
limitation,1
damages,1
resulting,24
from,499
reliance,2
on,764
at,296
your,119
own,31
risk,1
if,264
any,161
code,157
samples,36
other,175
technology,3
contains,55
describes,5
subject,20
open,14
source,27
licenses,2
intellectual,1
property,5
others,13
it,497
thereof,5
complies,1
such,136
andor,13
table,57
contents,27
preface,9
xi,25
ipython,188
beyond,35
normal,33
shell,66
notebook,57
launching,9
jupyter,12
help,68
documentation,93
accessing,30
exploring,27
modules,9
tab,23
completion,16
keyboard,10
shortcuts,36
navigation,7
text,68
entry,15
command,73
miscellaneous,6
magic,70
commands,75
pasting,8
blocks,19
paste,11
cpaste,5
running,17
external,5
run,29
timing,47
execution,15
timeit,46
functions,130
lsmagic,4
input,70
output,60
ipythons,17
out,618
objects,100
underscore,13
previous,52
outputs,11
suppressing,4
quick,28
introduction,46
iii,1
passing,20
values,236
shellrelated,5
debugging,15
controlling,12
exceptions,5
xmode,8
when,168
reading,11
tracebacks,2
not,253
enough,29
profiling,28
snippets,7
time,177
full,52
scripts,8
prun,10
linebyline,9
lprun,9
memory,39
memit,9
mprun,8
resources,38
web,21
numpy,305
understanding,26
types,94
integer,60
than,187
just,103
an,452
list,119
fixedtype,9
arrays,247
