Word,Count
critical,12
logs,73
to,21
monitor,12
a,8
guide,4
for,8
soc,5
analysts,13
pagetable,1
ofcontents,1
introduction,1
importance,2
oflogmonitoring,2
insoc,2
scope,2
andpurpose,2
oftheguide,2
keytypes,2
oflogs,3
system,29
logswindows,4
linux,8
macos,9
network,23
firewall,14
router,9
idsips,11
application,18
anddatabase,5
security,46
logsavedrxdr,2
cloud,13
logsaws,2
azure,11
gcp,3
andcontainer,4
logsdocker,4
kubernetes,7
iotscadaot,2
keymonitoring,1
practice,2
detecting,3
anomalies,10
andincidents,2
alerts,17
correlation,19
logretention,2
andsecurity,5
supporting,2
tools,8
siem,3
soar,6
pageintroduction,1
logsarethefootprints,1
ofevery,1
digital,1
activity,17
serving,1
asachronological,1
record,5
ofevents,3
within,8
systems,20
networks,7
andapplications,2
in,7
amodern,1
operations,7
center,2
relyonthese,1
logstodetect,1
threats,12
investigate,3
incidents,8
andmaintain,2
an,3
organizations,5
overall,1
posture,3
without,2
structured,1
andwellmonitored,1
logseventhe,1
most,2
advanced,2
solutions,9
canmisscritical,1
indicators,5
ofcompromise,2
iocs,2
orfailto,1
correlate,5
suspicious,16
behaviors,5
across,6
multiple,12
thegoalofthisguide,1
istohighlight,1
which,10
logsmatter,1
whytheyareessential,1
andhowtoapproach,1
theirmonitoring,1
inaway,1
thatbenefits,1
bothjunior,1
andmidlevelsocanalysts,1
inanysizable,1
itinfrastructure,1
rawdatavolumes,1
canbemassive,1
firewalls,7
alone,3
cangenerate,2
thousands,1
oflogentries,1
persecond,1
while,4
these,26
logsmaysometimes,1
appear,1
asunremarkable,1
linesoftexttheyholdvaluable,1
insights,9
thathelpdetect,1
andcounteract,1
proper,1
logmonitoring,3
iscrucial,2
forseveral,1
reasons,2
visibility,4
andcontext,1
logsprovide,2
context,3
byshowing,1
whathappened,1
when,14
ithappened,1
andhowitwas,1
executed,2
thisvisibility,2
isessential,2
indistinguishing,1
normal,6
fromanomalies,1
forexample,7
anunexpected,1
privilege,10
escalation,6
inawindows,1
logcanpoint,1
lateral,5
movement,5
byanattacker,2
similarly,2
repeated,7
authentication,10
failures,4
inalinux,1
environment,5
might,14
indicate,9
abruteforce,2
attack,5
incident,6
detection,29
andresponse,13
automated,8
fromasiem,1
information,8
andevent,3
management,12
platform,7
often,20
originate,1
fromsuspicious,1
patterns,10
inlogsthese,1
enable,3
socanalysts,11
quickly,4
identify,5
andrespond,2
topotential,1
forinstance,11
rulesmight,2
flagauserlogging,1
infromtwogeographically,1
distant,1
locations,2
ashort,2
timeframe,2
suggesting,1
astolen,1
credential,2
audit,10
andcompliance,2
many,7
regulatory,1
frameworks,7
suchaspcidsshipaa,1
oriso,1
mandate,2
log,8
retention,6
andregular,1
review,3
bymonitoring,1
logsorganizations,1
ensure,6
theymeet,1
compliance,4
requirements,9
andcanproduce,1
aclearaudit,1
trailduring,1
investigations,5
or,17
audits,1
logsareoften,1
thefirstplace,1
auditors,2
check,3
toconfirm,1
controls,7
arein,1
place,1
andfunctioning,1
asintended,1
threat,8
hunting,4
beyond,2
logsformthebasis,1
forproactive,1
lookfor,2
unusual,11
liketheexecution,1
ofapowershell,1
script,4
inanenvironment,1
where,8
powershell,3
usage,6
israretouncover,1
stealthy,1
attacks,12
byanalyzing,3
logsovertime,1
hunters,1
canidentify,1
trends,1
andadversary,1
tactics,1
thatmight,3
bemissed,1
by,2
forensic,1
anincident,2
doesoccur,1
wellstructured,1
logsarethekeytoforensic,1
theyhelprecreate,1
thetimeline,2
ofanattack,2
show,3
wereaccessed,1
and,14
highlight,3
thedatathatwasexfiltrated,1
detailed,5
logsofuseractions,1
pageconnections,1
andsystem,1
callscanbethedifference,1
between,2
accurately,1
attributing,1
andletting,1
attackers,3
remain,2
undetected,1
realworld,5
example,23
consider,2
ascenario,1
asocanalyst,2
notices,2
outbound,5
traffic,12
fromacritical,1
server,5
byreviewing,2
correlated,1
withwindows,1
event,19
logstheanalyst,2
uncovers,1
malicious,12
process,9
communicating,2
withanexternal,1
ip,6
address,1
uick,1
analysis,6
shows,1
thatthe,1
communication,1
began,1
rightafterasuspicious,1
thiscorrelation,1
can,2
response,7
teams,2
toisolate,1
theserver,1
contain,2
thethreat,1
andremediate,1
the,5
vulnerability,2
before,4
dataiscompromised,1
practical,12
tip,1
onlinux,2
commands,5
likejournalctl,1
pwarning,1
rcanhelpyouquickly,1
locate,1
higher,2
priority,3
events,31
inreverse,1
chronological,1
order,1
allowing,2
faster,2
triage,1
ofpotential,1
issues,9
onwindows,1
toolssuchaswevtutil,1
qesecurity,1
rdtrue,1
ftext,1
q,1
findstr,1
i,4
canfilterthesecurity,1
logforspecific,1
idsrelated,1
tologons,1
thisguide,3
targets,2
bothnewandmidlevelsocanalysts,1
whowanttoenhance,1
theirskillsinlog,1
monitoring,19
itcovers,1
common,12
sources,10
oflogslikeoperating,1
applications,7
toolsandhighlights,1
whattolookforineach,1
byfocusing,2
onthemost,1
anddescribing,1
howtheyfitintotheoverall,1
strategy,3
aimstostreamline,1
daytodayworkofsocprofessionals,1
specifically,2
itaimsto,1
keylogsources,2
wewilllookatsystem,1
logsfirewall,2
logssecurity,1
aws,1
container,10
andi,1
ots,1
cad,1
ot,2
logsthe,1
primary,3
focus,6
isonwhatmakes,1
eachcategory,1
howtocollect,1
them,9
andwhich,1
aremostindicative,1
ofasecurity,1
issue,3
present,2
techniques,3
from,2
rulestoanomaly,1
based,10
wewilldiscuss,1
thepractices,1
that,2
translate,1
rawlogsintoactionable,1
wewillalsocover,1
topics,1
likelogretention,1
logsecurity,1
andbestpractices,3
around,2
data,16
classification,1
toensure,2
thatsensitive,1
protected,1
showcase,1
reallifeusecases,1
eachlogtypecomes,1
withitsunique,1
setofchallenges,1
andattack,1
vectors,1
wewillwalk,1
through,2
realistic,1
scenarios,4
suchasdetecting,1
ormalicious,3
uploads,1
anddemonstrate,1
howthelogsserve,1
asvitalevidence,1
onsupporting,1
siemsecurity,2
andsoar,1
orchestration,3
automation,7
toolsareattheheart,1
ofmodern,1
socs,3
theguide,2
explains,2
howthese,1
platforms,7
integrate,2
withdifferent,1
logsources,3
automate,2
alerting,3
andhelp,1
orchestrate,2
actions,11
pageencourage,1
continuous,2
learning,3
cyber,1
evolve,1
rapidly,1
andsodobestpractices,1
inlogging,1
andmonitoring,1
with,6
references,2
toresources,1
likenistspguide,1
tocomputer,1
andofficial,1
vendor,3
documentation,15
egmicrosofts,1
windows,9
points,1
readers,2
toreliable,1
forongoing,1
education,1
onthese,1
areas,3
aimstoequip,1
withtheknowledge,1
andskillsto,1
prioritize,2
logseffectively,2
anddetect,2
potential,5
breaches,1
theyescalate,1
amixof,1
theoretical,1
explanation,1
andpractical,2
examples,8
willgainconfidence,1
insetting,1
up,2
logging,43
strategies,2
tuning,4
andconducting,1
thorough,1
pagekeyt,1
ypes,2
logsformthebackbone,1
ofincident,1
efforts,1
providing,2
withtheessential,1
baseline,3
dataneeded,1
toinvestigate,2
abnormal,2
trackuseractivities,1
anddiagnose,1
andmacos,2
logsshare,1
goalofrecording,1
keyoperating,1
osevents,1
though,2
eachplatform,2
organizes,1
andstructures,1
logsinitsownwayunderstanding,1
howtheywork,1
whattheylogandhowto,1
interpret,1
forsocanalysts,3
logcaptures,1
generated,3
bythewindows,1
operating,2
anditsbuilt,1
inservices,1
itrecords,1
driver,3
service,8
startups,1
andshutdowns,1
andkernel,1
level,1
messages,15
logstores,1
specific,6
suchaserrors,1
warnings,2
informational,2
fromsoftware,1
installed,1
onthesystem,1
egdatabase,1
clients,1
productivity,1
logfocuses,1
onsecurity,1
related,7
loginattempts,3
account,6
lockouts,1
anduserrightassignments,1
usedforauditing,1
andforensic,2
other,1
alsocreates,1
dedicated,2
logsforspecialized,1
services,6
likedfs,1
replication,1
andpowershell,1
canbeviewed,1
under,4
theapplications,2
logsintheevent,1
viewer,6
tips,3
builtintowindows,1
offers,6
aquick,1
waytoviewandfilter,1
cangroup,1
byseverity,1
error,6
warning,2
orby,1
id,6
filtering,5
andsearching,1
usexmlfiltering,1
inevent,1
orpowershell,1
huntforspecific,1
idsegforsuccessful,1
logins,6
forfailed,1
baselines,1
highvalue,1
idsforexample,1
o,5
successful,1
login,3
failed,7
special,1
privileges,5
assigned,1
toauser,1
anewprocess,1
hasbeencreated,1
alogon,1
wasattempted,1
using,9
explicit,1
credentials,4
byenabling,1
module,1
andscript,1
block,2
cantrack,1
orobfuscated,1
refer,3
tomicrosoft,1
docspowershell,1
forguidelines,1
pageexample,3
viapowershell,1
getwinevent,1
logname,1
whereobject,1
idin,1
thiscommand,1
pullssecurity,1
logevents,1
forsuccessful,2
andfailed,1
enabling,2
quick,1
ofabnormal,1
syslog,14
andjournald,1
mostlinux,1
distributions,1
relyonsyslog,1
orsystemd,1
journald,3
tocollect,1
andmanage,1
varlogsyslo,1
g,3
orvarlogm,1
essag,1
es,1
contains,3
andnoncritical,1
varlogauth,1
lo,1
orvarlogsecure,1
focuses,1
on,6
essential,1
fordetecting,3
bruteforce,3
sudoactivity,1
orsshlogins,1
varlo,1
gkernlog,1
stores,1
kernel,5
levelmessages,1
useful,1
fordiagnosing,1
journal,1
logssystemd,1
distros,1
consolidates,1
logsinabinary,1
format,7
accessible,2
viajournalctl,1
keyareas,1
tomonitor,1
watch,1
forrepeated,1
newuseradditions,1
etcpasswd,1
orsudden,1
changes,16
insudousage,1
cron,2
jobscheck,1
varlog,2
orassociated,1
logsforunauthorized,1
scheduled,4
tasks,2
cronjobscanbeusedbyadversaries,1
forpersistence,1
orerrors,2
thatcould,2
hardware,1
orpotential,2
rootkit,1
logsforservices,1
likeapache,1
nginx,1
orsshmonitor,1
logseg,1
varlogapacheaccesslog,1
varlognginxaccesslog,1
varlogsecure,1
forunexpected,1
orrepeated,1
journalctl,3
viewalllogsrelated,1
tossh,1
usshd,1
filterlogsforaspecific,1
timerange,1
sinceuntil,1
thisapproach,1
helps,7
search,3
foranomalies,1
aparticular,1
pagemacos,1
unified,1
since,1
sierra,1
apple,2
introduced,1
aunified,1
thatstores,1
logmessages,2
inastructured,1
console,3
appthebuiltinconsole,1
allows,2
viewing,1
ofsystem,1
logsdiagnostic,1
reports,2
andcrash,1
logcommands,1
thelogutility,1
intheterminal,1
extensive,2
streaming,2
searching,2
capabilities,6
viewlivelogmessages,1
wide,1
logstreamlevelinfo,1
forspecific,2
processes,6
logshowpredicate,1
sshdandeventmessage,1
password,1
subsystems,1
andcategories,1
logscategorize,1
bysubsystem,1
eg,6
comapplenetworking,1
andcategory,1
connection,3
thishelps,2
narrow,1
down,1
varlogsystemlo,1
retains,1
coresystem,1
andisoften,1
thefirststop,1
troubleshooting,1
logasl,1
legacy,3
thatcoexists,1
withtheunified,1
viacommand,1
linetoolsfor,1
older,1
versions,1
logsattempts,1
tologinviasshorlocalaccounts,1
canappear,1
varlogasl,1
orthrough,1
theunified,1
interface,8
anddetection,1
onrepeated,1
likelinux,1
sshattempts,1
orunexpected,2
launches,1
warrant,1
attention,1
crash,2
sometimes,2
induce,1
crashes,4
ofsecurity,1
tooling,1
logsinmacos,1
canprovide,1
earlyindicators,1
oftampering,1
leverage,5
builtinto,1
olsusetheconsole,1
tofilterlogsbyprocess,1
ormessage,1
type,2
apples,1
developer,1
onunified,1
provides,3
details,8
onadvanced,1
crossplatform,1
considerations,5
aspect,2
logfilesevent,1
etcvarlogsyslog,1
varlogauthlog,1
etcunified,1
logshow,1
logstream,1
pageaspect,1
toolspowershell,1
wmitailgrepawkjournalctl,1
applogcli,1
alertfocusevent,1
ids,3
etc,2
policy,5
changessshfailures,1
escalations,3
systemd,2
errorssshfailures,1
unexpected,4
subsystem,1
centralizationwindows,1
forwarding,4
wef,2
sysmon,2
logstosiemrsyslog,1
ng,1
tosiemexport,1
logsviathelog,1
collect,4
feature,2
toasiem,2
agents,3
andcentralization,1
opttoforward,1
logstoacentral,2
siemorlog,1
fordetailed,2
levellogging,1
orthirdpartyagents,1
likenxlog,1
orsplunk,3
universal,1
forwarder,1
linuxrsyslog,1
ngorsystemd,1
canforward,1
logstoremote,1
servers,1
beats,1
filebeat,1
metricbeat,1
fromelastic,1
canalsocollect,1
andshiplogs,1
usethirdparty,1
egosquery,1
forquerybased,1
datadog,1
tounifylogsunder,1
asingle,2
pane,1
logsfromnetwork,1
devices,8
areamong,1
themost,1
datasources,1
ina,1
andidsips,2
logssocanalysts,1
gainvisibility,1
intotraffic,1
andpotential,4
is,3
crucial,2
foridentifying,2
behavior,6
earlyandforresponding,1
toincidents,1
theycan,1
propagate,1
theenvironment,1
below,7
arethekeyconcepts,1
bestpractices,4
andrealworld,3
thatillustrate,1
howtoworkeffectively,1
withnetwork,2
areoften,1
thefirstlineofdefense,1
onpredefined,1
rules,8
logsprovides,1
intobothpermitted,1
anddenied,1
connections,10
fields,5
infirewall,1
typical,6
logswillinclude,1
suchas,3
timestamp,3
thedateandtimetheevent,1
wasrecorded,1
source,8
ipdestination,2
ipipaddresses,1
oftheclient,1
andserver,2
po,1
rtdestination,1
portports,1
usedbytheservices,1
orapplications,1
protocol,9
inuseegtcpudpicmp,1
action,9
indicates,6
whether,3
thetraffic,5
wasallowed,1
denied,3
dropped,3
orrejected,1
pagerule,1
orpolicy,1
name,3
identifies,3
ruletriggered,1
thelogentry,1
mayalsologadditional,1
likeinterface,1
names,2
egeth,1
wan,1
lan,1
packet,2
sizeorthereason,1
foradenyorreject,1
modern,3
especially,4
nextgeneration,1
ngfws,1
canlogapplication,1
leveldataanduserinformation,1
ifintegrated,1
withidentity,1
field,1
description,1
value,2
dateandtimeofevent,1
originating,2
ipaddress,2
destination,2
iptarget,1
port,3
tcpudp,2
porttarget,1
tcpudpicmp,1
tcp,2
allowed,2
rulename,2
orrulename,1
blocktelnet,1
usecases,1
blocked,3
attempts,19
onsensitive,1
ports,1
egforsshorforrdpcanreveal,1
orportscans,1
volumes,2
asudden,1
spike,2
intraffic,2
fromasingle,2
iporsubnet,1
adosorddos,1
attempt,10
inbound,3
vsoutbound,1
tosuspicious,3
ipaddresses,4
orcountries,1
theorganization,1
doesnotconduct,1
business,3
canbeearlyindicators,1
ofcompromised,2
hosts,4
egmalware,1
calling,1
home,1
loganalysis,1
insiem,1
isanexample,2
splunk,5
query,3
thatfilters,1
fordenied,1
withafocus,1
ontcpport,1
rdp,1
indexfirewalllogs,1
actiondeny,1
destport,3
statscountbysrcip,1
destip,4
thisquery,1
anysource,1
ipsthatarerepeatedly,1
trying,1
toreach,1
rdpservices,1
butare,1
being,2
anattempted,1
intrusion,3
routers,3
primarily,2
forward,2
packets,3
routing,3
tables,2
byrouters,1
onsystem,1
updates,8
andinterface,1
errors,9
rather,1
thanapplication,1
however,2
they,4
arestillcritical,1
foroverall,1
inenvironments,1
withdistributed,1
architectures,2
pagetypes,1
ofrouter,1
orevent,2
logsincludes,1
about,3
device,3
reboots,2
software,3
configuration,7
ro,1
uting,1
logsinformation,1
tobgpospf,1
eigrp,1
orother,1
protocols,5
logsstatus,1
oninterfaces,1
updown,3
crc,1
collisions,1
andbandwidth,1
logssuccessful,1
orfailed,2
via,1
sshtelnet,1
orconsole,1
access,11
therouter,1
logsoften,1
follow,1
thestandard,1
egcisco,1
withseverity,2
levels,3
integrating,1
logsintoasiemallows,1
tocorrelate,2
topology,1
ifarouter,1
goesdown,3
justbefore,2
asecurity,1
thatsegment,1
cisco,4
sendsyslog,1
withvarious,1
severity,4
anexample,2
message,3
looklikethis,1
jan,1
myrouter,1
linkupdown,1
gigabitethernet,1
changed,2
statetoup,1
corresponds,2
tothesyslog,1
link,1
alinkstatus,1
change,3
levelerror,1
themessage,1
state,2
inasiem,2
youmight,1
filterforlink,1
totrackunexpected,1
ifaninterface,1
suddenly,1
itmayindicate,1
aphysical,1
misconfiguration,1
aiming,1
todisrupt,1
segments,2
idsandintrusion,1
prevention,2
ipsmonitor,1
forsigns,1
ofmalicious,1
violations,1
orknown,1
signatures,5
typically,7
operate,1
atthetransport,1
ornetwork,2
layer,3
caninspect,1
inmore,1
depth,1
richer,1
levelthreats,1
idsvsips,1
sintrusion,1
detects,3
andgenerates,1
it,2
doesnotautomatically,1
ipsintrusion,1
andcantakepreventive,1
suchasdropping,1
orblocking,2
inrealtime,1
inidsips,1
signature,6
idaunique,1
identifier,1
fortheruleorsignature,1
triggered,3
egsnort,1
ruleshave,1
sidvalues,1
pageevent,1
oralert,1
thename,1
ordescription,1
ofthesuspicious,1
eget,1
trojan,4
zeustracker,1
orpriority,1
thecriticality,1
ofthealert,1
ipportsinformation,1
flow,2
wasdetected,1
orallowed,1
withsuricata,1
suricata,5
isapopular,1
opensource,1
engine,3
outputs,1
json,3
logsthatcanbe,1
ingested,1
bysiemtoolslikeelasticsearch,1
atypical,2
alertentryinjson,1
include,10
t,2
flowid,1
eventtype,1
alert,4
srcip,2
srcport,3
proto,1
gid,1
signatureid,2
rev,1
ettrojanknownmalicious,1
domain,5
category,3
intheabove,1
toasuricata,1
ruleidthatreferences,1
aspecific,1
wasblocked,1
bysuricata,1
ipsmode,1
thetypeofthreat,1
pagereallifeattack,1
slinjection,3
lookforpatterns,1
inhttp,1
requests,1
match,2
known,4
exploit,1
kitsifahostattempts,1
todownload,1
orconnect,1
toanexploit,1
kitdomain,1
logscanreveal,3
thesuspicious,2
andsignature,1
maytrytomove,1
horizontally,1
anetwork,1
candetect,3
smborrdptraffic,1
parsing,2
andanalyzing,2
logsinpractice,2
logmanagement,1
andsiem,1
integration,1
centralize,2
logsintoasiemforcorrelation,1
thisallows,1
crossreferencing,2
frommultiple,2
ifanids,1
alertindicates,1
atrojan,1
andthefirewall,1
logsshow,1
toasuspicious,1
thesiemcangenerate,1
ahigher,1
logstash,2
snippet,1
toparse,2
input,2
file,2
pathvarlogsuricataevejson,1
typesuricata,1
codecjson,1
filter,1
ifeventtype,1
mutate,1
addtag,1
suricataalert,2
output,2
elasticsearch,1
hostslocalhost,1
indexsuricata,1
alertsyyyymmdd,1
pagethisconfiguration,1
reads,1
suricatas,1
evejson,1
filefilters,1
foralertevents,1
andthentagsthem,1
as,1
sending,3
toelasticsearch,1
rulescanlookforconditions,1
high,2
volume,3
ofdenied,1
ifmore,1
thanfirewall,1
denies,1
occur,2
fromthe,2
same,1
ipinminutes,1
generate,3
analert,1
salerts,2
forthesame,1
hostifahosttriggers,1
more,1
thandifferent,1
period,1
raisethepriority,1
oftheincident,1
dow,1
n,2
if,3
acritical,1
andmultiple,1
aredetected,1
onadjacent,1
sabotage,1
widespread,1
compromise,2
bycreating,1
rulesthatcombine,1
different,3
logtypes,5
coordinated,1
andreduce,1
thevolume,1
offalsepositives,1
challenges,3
logvolume,2
amassive,1
amount,1
ofdata,2
filters,1
sampling,1
maybenecessary,1
butbecautious,1
nottodiscard,1
important,2
normalization,1
vendors,4
paloaltofortinet,1
etcoften,1
haveunique,1
formats,2
normalizing,2
egensuring,1
consistent,2
naming,1
ofsrcip,1
foreffective,1
encryption,2
secure,4
transport,1
thatlogdataistransmitted,1
securely,1
instance,1
tlsforsyslog,1
overtlsunencrypted,1
logscanbeintercepted,1
andmanipulated,1
byadversaries,2
regular,2
rulesets,1
needregular,1
toreflect,1
newthreats,1
policies,7
should,5
bereviewed,1
theyalignwiththeevolving,1
time,1
synchronization,1
ntpnetwork,1
timeprotocol,1
beenabled,1
andcorrectly,1
configured,2
onalldevices,1
tomaintain,1
timestamps,6
accurate,1
are,1
forevent,1
andfurther,1
reading,1
official,3
httpssuricata,1
idsorgdocs,1
snort,1
d,1
s,1
ps,1
https,4
wwwsnortorg,1
wwwciscocomcenussupportdocssecurity,1
vpnsyslog,1
best,2
practices,4
nist,1
