Word,Count
list,2
of,4
projects,1
personal,2
firewall,4
using,6
python,15
objective,15
develop,1
a,22
lightweight,1
that,7
filters,1
traffic,4
based,3
on,9
rules,3
tools,16
scapy,3
iptables,2
linux,3
tkinter,3
gui,6
optional,3
mini,15
guide,15
ause,3
to,21
sniff,1
incomingoutgoing,1
packets,3
bdefine,1
rule,2
sets,1
blockallow,1
ips,2
ports,1
protocols,1
clog,2
suspicious,2
for,14
audit,4
doptionally,1
use,2
enforce,1
system,5
level,2
ecreate,1
live,2
monitoring,1
deliverables,15
cliguibased,1
with,28
customization,1
and,37
logging,1
web,3
application,2
vulnerability,3
scanner,3
build,7
detect,5
common,2
app,6
vulnerabilities,1
like,3
xss,2
sqli,5
csrf,1
requests,3
beautifulsoup,2
owasp,1
top,1
checklist,1
flask,3
crawl,1
input,2
fields,1
urls,1
binject,1
payloads,1
etc,2
analyze,2
responses,2
cuse,1
regex,2
or,10
pattern,1
matching,1
detection,5
dcreate,1
ui,1
manage,1
scans,1
view,1
results,1
elog,1
each,1
evidence,1
severity,1
pythonbased,1
interface,2
detailed,2
reports,4
keylogger,3
encrypted,4
data,5
exfiltration,2
proofofconcept,1
encrypts,1
logs,11
simulates,1
pynput,2
cryptography,4
base,1
acapture,2
keystrokes,1
bencrypt,2
cryptographyfernet,1
cstore,3
locally,1
timestamp,1
dsimulate,1
sending,1
remote,1
server,3
localhost,1
eadd,5
startup,1
persistence,1
kill,1
switch,1
poc,1
ethical,2
constraints,1
secure,4
file,5
storage,2
aes,4
create,3
local,1
encryptiondecryption,1
pyqt,1
cli,2
fernet,1
manual,1
key,2
iv,1
ballow,3
upload,1
encrypt,1
save,1
enc,1
extension,4
metadata,1
name,2
time,3
hash,2
securely,1
dallow,1
retrieval,1
decryption,1
verification,2
prevent,2
tampering,1
aessecured,1
integrity,1
phishing,4
simulation,2
platform,2
simulate,2
campaigns,1
educationaltraining,1
purposes,1
sendmailpostfix,1
smtp,1
htmlcss,2
sqlite,4
adesign,1
customizable,1
templates,1
bsend,1
emails,1
test,1
users,2
in,6
safe,1
lab,1
ctrack,1
clicks,1
inputs,2
timestamps,1
ddisplay,1
analytics,3
open,2
rate,2
success,1
eeducate,1
postcampaign,1
best,1
practices,1
webbased,1
dashboard,4
password,4
strength,3
analyzer,2
custom,5
wordlist,2
generator,1
tool,8
generate,2
wordlists,2
argparse,1
nltk,1
zxcvbn,2
aanalyze,1
user,4
entropy,1
calculations,1
date,1
pet,1
cinclude,1
patterns,5
leetspeak,1
append,1
years,1
dexport,1
txt,1
format,1
cracking,1
evaluates,1
exports,2
attackspecific,1
sql,2
injection,1
playground,1
engine,2
vulnerable,3
an,1
realtime,5
phpflask,1
acreate,1
basic,1
loginsearch,1
page,1
intentional,1
flaws,1
bbuild,1
script,2
inject,1
behavior,1
timeouts,1
errors,1
successful,1
injections,1
dshow,2
how,1
parameterization,1
can,1
ewrap,1
into,1
educational,1
detector,1
defense,1
example,1
network,2
packet,2
sniffer,3
alert,2
anomaly,2
matplotlib,2
log,4
headers,1
ip,4
port,2
length,1
flags,2
bdetect,1
anomalies,1
eg,1
scanning,2
flooding,1
display,1
summary,1
dsend,1
threshold,1
breach,1
via,3
emaillog,1
eoptional,1
add,1
graph,1
cligui,1
alerting,1
database,1
hardening,2
systems,1
security,1
configuration,1
bash,1
os,1
subprocess,1
acheck,1
unused,1
services,2
ssh,3
settings,1
bverify,1
permissions,1
files,3
etcshadow,1
etcpasswd,1
ccheck,1
rootkit,1
indicators,2
dgenerate,1
scorereport,1
cis,1
benchmarks,1
erecommend,1
actions,1
generates,1
compliance,1
score,1
intrusion,1
apache,2
pandas,1
aparse,1
bidentify,1
bruteforce,1
dos,1
cvisualize,1
access,1
by,1
dcrossreference,1
blacklist,1
public,2
eexport,1
incident,1
processes,1
threats,2
alerts,1
browser,1
block,3
trackers,2
privacyfocused,1
known,1
tracking,2
scripts,3
javascript,1
manifest,1
v,1
amaintain,1
domains,1
duckduckgos,1
bintercept,1
webrequest,1
api,2
cblock,1
redirect,1
matches,1
badge,1
counter,1
blocked,1
usercontrolled,1
whitelistblacklist,1
chromefirefox,1
blocks,1
shows,1
chat,4
endtoend,1
encryption,1
private,1
eee,2
publickey,1
flasksocketio,2
rsaaes,1
from,4
agenerate,1
rsa,2
keys,3
per,1
share,1
messages,2
shared,1
ccreate,1
communication,1
dstore,1
edisplay,1
decrypted,1
only,1
client,1
side,1
steganography,2
imagefile,1
hiding,1
hide,1
text,1
inside,1
images,2
pil,1
stepic,1
aconvert,1
message,2
binary,1
embed,1
image,4
lsb,1
uploading,1
hidden,1
cextract,1
decrypt,1
modified,1
dadd,1
draganddrop,1
esupport,1
formats,1
png,1
bmp,1
embedding,1
extracting,1
cyber,1
threat,6
intelligence,1
aggregates,1
feeds,1
flaskdjango,1
virustotal,1
free,1
tier,1
abuseipdb,1
mongodb,1
apull,1
cti,2
sources,1
apis,1
bdisplay,1
ioc,1
compromise,1
trends,1
cenable,1
ipdomains,1
verify,1
against,1
databases,1
dvisualize,1
metrics,1
over,1
tagging,1
export,1
feature,1
lookup,1
visualizations,1
honeypot,4
attack,2
deploy,1
attackers,2
cowrie,1
sshftp,1
emulation,1
adeploy,1
vm,1
blog,1
connections,1
attempted,1
commands,1
canalyze,1
repeated,1
attempts,1
duse,1
failban,1
real,1
evisualize,1
geolocation,1
running,1
visual,1
