Word,Count
aeque,1
enim,4
contingit,1
omnibus,1
fidibus,1
ut,6
incontentae,1
sint,5
lorem,1
ipsum,2
dolor,3
sit,3
amet,1
consectetur,1
adipiscing,1
elit,1
quae,8
cum,3
ita,3
effectum,1
est,8
nihil,3
esse,7
malum,1
quod,5
turpe,1
non,8
itaque,1
nostrum,2
estquod,1
dico,3
artis,1
estad,1
ea,6
principia,1
accepimus,1
totum,1
contra,1
duo,1
reges,1
constructio,1
interrete,1
atqui,1
iste,1
locus,1
piso,2
tibi,2
etiam,4
atque,2
confirmandus,1
inquam,1
quamvis,1
depravatae,1
pravae,1
tamen,3
possunt,1
duarum,1
vitarum,1
nobis,2
erunt,1
instituta,1
capienda,1
igitur,2
de,5
improbo,2
sed,5
callido,1
quaerimus,1
qualis,1
q,1
audio,1
equidem,1
philosophi,1
vocem,1
epicure,1
quid,3
dicendum,1
oblitus,1
es,1
ex,1
difficultate,1
illae,1
fallaciloquae,1
ait,1
accius,1
malitiae,1
natae,1
sunt,3
at,1
multis,1
malis,1
affectus,2
nam,2
quibus,3
rebus,1
efficiuntur,1
voluptates,1
eae,1
in,6
potestate,1
sapientis,1
quis,1
tam,1
dissimile,1
homini,1
proverbia,1
nulla,1
veriora,1
quam,3
vestra,1
dogmata,1
si,2
quicquam,1
extra,1
virtutem,1
habeatur,1
bonis,1
plane,1
dicit,2
intellegit,1
paulum,1
regem,1
persem,1
captum,1
adduceret,1
eodem,1
flumine,1
invectio,1
qui,3
beatum,2
numquam,1
probabis,1
nimis,1
multa,1
prius,1
a,3
se,2
poterit,1
quisque,1
discedere,1
appetitum,1
earum,1
rerum,1
sibi,1
conducant,1
amittere,1
familiares,1
nostros,1
credo,1
sironem,1
dicis,1
et,3
philodemum,1
optimos,1
viros,1
tum,1
homines,1
doctissimos,1
iam,1
me,1
expectare,1
noli,1
ergo,2
eademne,1
restincta,1
siti,1
relinquet,1
duas,1
consideret,1
illa,1
videamus,1
te,2
amicitia,1
dicta,1
eaedem,1
res,1
maneant,1
alio,1
modo,3
attinet,1
gloriose,1
loqui,1
nisi,1
constanter,1
loquare,1
prioris,1
generis,1
docilitas,1
memoria,1
portenta,1
haec,1
neque,1
ratione,1
ullo,1
posse,1
vivi,1
inquit,2
bestiarum,1
vero,1
nullum,1
iudicium,1
puto,1
quem,1
tiberina,1
descensio,1
festo,1
illo,2
die,1
tanto,1
gaudio,1
affecit,1
quanto,1
l,1
quorum,1
sine,2
causa,1
fieri,1
putandum,1
tria,1
genera,1
bonorum,1
nunc,2
dicam,1
voluptate,2
scilicet,1
novi,1
probaturum,1
confidam,1
illud,1
dicat,1
praeclare,1
inter,1
cohaerere,1
fortemne,1
possumus,1
dicere,1
eundem,1
illum,1
torquatum,1
hoc,2
tu,1
probas,1
cur,1
post,1
tarentum,1
ad,1
archytam,1
indicant,1
pueri,1
speculis,1
natura,1
cernitur,1
aliquid,1
liceat,2
illis,1
virtutis,2
magnitudinis,2
animi,2
patientiae,2
fortitudinis,2
fomentis,2
mitigari,2
solet,2
vir,1
optimus,1
tuique,1
scis,1
amantissimus,1
prorsus,1
omnisque,1
dolore,1
quidem,1
summa,1
potius,1
inflammat,1
coercendi,1
magis,1
dedocendi,1
videantur,1
fere,1
omnia,1
appellantur,1
uno,1
ingenii,1
nomine,1
easque,1
virtutes,1
habent,1
ingeniosi,1
vocantur,1
nec,1
dum,1
metuit,1
iustus,1
certe,1
metuere,1
destiterit,1
erit,1
